id,title,company,location,salary_min,salary_max,description,year,apply_url
26-12848411,Data Scientist,"Commander, Navy Installations","Washington Navy Yard, District of Columbia",100000,121000,"This position is assigned to Program Integration (N9D); Fleet and Family Readiness (FFR); Commander, Navy Installations Command (CNIC); Washington Navy Yard, District of Columbia. The incumbent serves as a Data Scientist for the FFR Integration Office and provides data analytics expertise for the Navy's FFR Integration Office to ensure high data quality and data integrity of data elements used in developing dashboards.",2020,https://www.usajobs.gov:443/job/852159400
12845863-FODOFSDIV2-IMP-25,DATA SCIENTIST,Citizenship and Immigration Services,"Camp Springs, Maryland",106382,138296,"Protect your homeland and defend your culture. Join USCIS, America's frontline defense against illegal foreign infiltration and fraud. As a DATA SCIENTIST, you will gather and analyze facts, determine the accuracy of data, apply technical proficiency in use of current software functionality and research ways to improve production and/or increase the quality of the work product.",2020,https://www.usajobs.gov:443/job/851897400
DE-12846383-26-JJL,DATA SCIENTIST,"Commander, Navy Installations","Washington Navy Yard, District of Columbia",120579,156755,"This is a public notice flyer to notify interested applicants of anticipated vacancies. Applications will not be accepted through this flyer. Interested applicants must follow the directions in the ""How to Apply"" section of this flyer to be considered. There may or may not be actual vacancies filled from this flyer. Notice of Result letters will not be sent to applicants who respond to this flyer.",2020,https://www.usajobs.gov:443/job/851808600
AMO-DE(DHA)-12838145-KMH,DATA SCIENTIST,Customs and Border Protection,"Washington, District of Columbia",120579,156755,"Organizational Location: This position is with the Department of Homeland Security, within U.S. Customs and Border Protection, Office of Air and Marine Operations, Washington, D.C.",2020,https://www.usajobs.gov:443/job/851684500
JD-1-2025-0001,Director of Data Analytics,Office of Inspector General,"District of Columbia, District of Columbia",167603,195200,"The Office of Inspector General (OIG), works within the U. S. Department of Transportation (DOT) to promote efficiency and effectiveness, and prevent or stop waste, fraud and abuse in departmental programs. OIG also consults with the Congress about programs in progress and proposed new laws and regulations. The Inspector General Act of 1978 gives the Office of Inspector General autonomy to do its work without interference.",2020,https://www.usajobs.gov:443/job/851816200
CES-DISA-12841570-25AA,SUPV INTERDISCIPLINARY (DATA),Defense Information Systems Agency,"Fort Meade, Maryland",167603,189950,This position is being recruited under 10 USC 1599f into the Cyber Excepted Service and does NOT convey eligibility to be converted to the Competitive Service. It has been identified as a position necessary to carry out and support the mission of the US Cyber Command. It is in the Supervision/Management Work Category at the Expert Work Level within the CES Occupational Structure. It is located in the DISA JOINT FORCE HEADQUARTERS.,2020,https://www.usajobs.gov:443/job/851184600
126209-01,Continuous Opening - ACF SME (Data Scientist) (Washington DC),Defense Intelligence Agency,"Washington, District of Columbia",63163,117034,We are committed to: Teamwork: Partnering at all levels and across organizational boundaries for mission accomplishment. Integrity: Adherence to the highest legal and ethical principles in our responsibilities. Excellence: Unrivaled defense intelligence expertise. Service: Putting the welfare of the Nation and commitment to our mission before oneself.,2020,https://www.usajobs.gov:443/job/851335900
126203-02,Continuous Opening - ACF Entry (Data Scientist) (Washington DC),Defense Intelligence Agency,"Washington, District of Columbia",42679,74733,We are committed to: Teamwork: Partnering at all levels and across organizational boundaries for mission accomplishment. Integrity: Adherence to the highest legal and ethical principles in our responsibilities. Excellence: Unrivaled defense intelligence expertise. Service: Putting the welfare of the Nation and commitment to our mission before oneself.,2020,https://www.usajobs.gov:443/job/851335500
CA-2026-0026,Program Analyst (DATA ANALYST) ,Department of State - Agency Wide,"Washington, District of Columbia",142488,185234,"This position is located in the Office of Management Analysis and Coordination, Management and Process Analysis Division, Passport Services, Bureau of Consular Affairs (CA/PPT/I/MAC/MP), Department of State. This office is responsible to elevate the use of data analytics methodologies and techniques in determining policies and making management decisions regarding the effectiveness of the bureau's programs and operations.",2020,https://www.usajobs.gov:443/job/852152400
CMS-CPI-26-12846447-IMP,"Deputy Director, Data Analytics & Systems Group",Centers for Medicare & Medicaid Services,"Woodlawn, Maryland",167603,195200,"This position is located in the Department of Health & Human Services (HHS), Centers for Medicare & Medicaid Services (CMS), Center for Program Integrity (CPI), Data Analytics & Systems Group (DASG). As a Supervisory IT Program Manager referred to here as Deputy Director, Data Analytics & Systems Group, GS-2210-15, you will share with the Group Director full responsibility for managing all phases of the Group's data analytics and IT work.",2020,https://www.usajobs.gov:443/job/851912000
