company_id,company_name,size,founded_year,industry,headquarters,website,revenue,rating,hr_contact,last_active
1,Morris-Hunt,Small (1-50),1993,E-commerce,New Dana,https://weeks.com,109541102,4.97,heather15@example.net,9/19/2025
2,Garcia PLC,Small (1-50),1999,Technology,North Rebecca,https://fisher.com,111263052,4.94,wilsonsteven@example.net,10/4/2025
3,Moreno-Donovan,Medium (51-300),2008,Telecom,South Chelseastad,https://riley.com,333500625,3.34,tracy31@example.org,7/19/2025
4,Browning-Cole,Enterprise (1000+),2004,E-commerce,East John,https://fuller-taylor.biz,461611823,4.89,xpierce@example.org,1/2/2025
5,Mosley LLC,Small (1-50),2019,Finance,Stevenshire,https://davidson-tran.org,299476007,4.98,qfrancis@example.net,5/11/2025
6,Mcdonald PLC,Large (300-1000),2002,E-commerce,Merrittburgh,https://zamora.com,474201386,3.83,vjohnson@example.org,6/2/2025
7,Clarke-Turner,Medium (51-300),2015,Retail,East Theresahaven,https://smith.info,444202367,4.98,urice@example.com,2/22/2025
8,"Green, Brooks and James",Small (1-50),1991,Finance,Lake Melissashire,https://gonzales.com,432755093,4.23,esteele@example.com,6/14/2025
9,Sellers-Valencia,Small (1-50),2000,Technology,Lake Raymondberg,https://nicholson-erickson.biz,227946351,4.52,thompsonkyle@example.net,9/8/2025
10,"Vasquez, Bennett and Short",Large (300-1000),2016,Healthcare,North Lydiabury,https://thompson.com,268224429,2.92,jacob36@example.net,10/2/2025
11,Nicholson Group,Enterprise (1000+),2008,E-commerce,Kylestad,https://wolf.info,459465580,3.3,ksmith@example.org,12/18/2024
12,Potter-Williams,Small (1-50),2017,Finance,East Nicole,https://humphrey.net,52782046,3.5,fletcherchristopher@example.com,10/25/2025
13,Coleman-Williams,Enterprise (1000+),2003,Technology,Thomasland,https://woods.com,18191551,2.56,wilsonstephanie@example.org,8/12/2025
14,Diaz Inc,Large (300-1000),2015,Retail,Smithburgh,https://acosta-cruz.com,331885825,4.7,zholmes@example.net,2/9/2025
15,"Chavez, Davis and Hartman",Medium (51-300),2013,Finance,Katherineview,https://ramirez.biz,297615519,2.73,vhernandez@example.org,9/5/2025
16,"Shannon, Henson and Davis",Small (1-50),2023,Technology,Port Jennifer,https://scott.info,250257065,4.91,bmills@example.org,7/19/2025
17,"Turner, Johnson and Martin",Medium (51-300),2003,Healthcare,Patriciaton,https://gates.com,21174389,2.87,vanderson@example.net,10/25/2025
18,Navarro PLC,Medium (51-300),2012,Retail,Port Joel,https://doyle.com,326240337,4.47,pguzman@example.net,11/27/2025
