location_id,city,district,region,latitude,longitude,cost_index,avg_salary_level,population,remote_friendly
1,Hanoi,Simple,North,21.524455,107.40901,137,1514,3183508,TRUE
2,HCMC,Lawyer,South,18.631728,108.860856,87,916,4783681,FALSE
3,Hai Phong,Consumer,North,20.473665,108.10251,134,1792,7767199,FALSE
4,HCMC,Growth,South,18.707528,108.466032,66,2003,9638633,TRUE
5,HCMC,Cup,South,14.84208,106.198576,87,2941,5496211,FALSE
6,Hanoi,Risk,North,19.793505,105.015528,100,2130,2385295,FALSE
7,Hanoi,Beat,North,15.884852,106.755537,119,878,2027892,FALSE
8,Hai Phong,Mention,North,10.193627,105.005394,64,2885,4384553,TRUE
9,Hai Phong,Fall,North,11.338595,107.936897,69,1015,4201416,FALSE
10,Can Tho,Summer,Central,12.418506,107.533585,107,2048,1711349,TRUE
11,Da Nang,Catch,Central,16.637245,108.747113,76,1148,5807770,FALSE
12,Hanoi,Stock,North,10.383839,107.110726,68,2718,2323455,FALSE
13,Hanoi,Which,North,10.422325,107.933198,100,2868,4482348,TRUE
14,Da Nang,Social,Central,12.190466,108.254275,132,817,3315511,FALSE
15,HCMC,Born,South,10.441428,105.638798,102,2996,165851,FALSE
16,Hai Phong,Their,North,21.248539,108.373924,121,1824,4916245,FALSE
17,Da Nang,Ahead,Central,10.629536,107.91447,85,1447,6050297,FALSE
18,Hanoi,Protect,North,20.394483,106.568118,116,1467,2346491,FALSE
19,HCMC,Back,South,14.089726,108.49194,87,2385,9224550,FALSE
20,Can Tho,Business,Central,19.961705,107.841438,101,2117,4062628,TRUE
21,Can Tho,Recent,Central,19.179924,105.390889,84,1774,6626757,FALSE
22,Can Tho,Into,Central,15.592506,108.973924,96,2971,2514040,TRUE
23,HCMC,City,South,21.605335,108.390176,131,1765,9968784,FALSE
24,Da Nang,Government,Central,17.904616,106.941048,75,1876,2159843,TRUE
25,Da Nang,Suffer,Central,21.059277,107.156446,130,1603,8884169,FALSE
26,Da Nang,Positive,Central,14.328008,109.360133,88,1838,8196182,FALSE
27,Hai Phong,Guy,North,14.521736,106.775948,103,2590,3914223,FALSE
28,Da Nang,Own,Central,20.15584,107.234624,64,1234,5906950,FALSE
29,HCMC,Send,South,11.111942,109.518234,85,2062,1228059,TRUE
30,Can Tho,Lay,Central,18.764228,108.660571,119,1746,2183335,FALSE
31,Can Tho,Beautiful,Central,17.09389,109.785556,77,2058,7372001,FALSE
32,Hai Phong,Save,North,21.493823,107.219391,89,831,2721871,TRUE
33,Hai Phong,Front,North,21.605481,105.110607,69,2214,3724044,TRUE
34,HCMC,Plant,South,15.928967,105.197042,88,1851,9031115,FALSE
35,Can Tho,One,Central,10.879676,106.283456,131,2222,6934153,TRUE
36,Da Nang,Mention,Central,18.021223,105.240639,61,2781,3755510,TRUE
37,HCMC,Report,South,11.308974,105.368029,134,1902,5808065,FALSE
38,Hai Phong,Inside,North,10.090089,106.306177,106,917,7031803,FALSE
39,Hai Phong,Production,North,16.644223,106.309843,85,1551,3869534,FALSE
40,Da Nang,Since,Central,20.98306,108.410994,114,1076,1829253,FALSE
41,Can Tho,Hospital,Central,12.183263,109.3095,128,2437,6894929,FALSE
42,Da Nang,Three,Central,17.875678,108.515207,126,2368,8162665,FALSE
43,Hanoi,Think,North,21.730665,105.793839,94,2946,1463565,TRUE
44,HCMC,Adult,South,13.027257,106.178167,67,881,8836674,TRUE
45,Da Nang,Difference,Central,16.770636,109.83083,128,1973,605844,FALSE
46,Can Tho,Pick,Central,11.556108,105.778311,125,2402,685263,FALSE
47,Hai Phong,Feel,North,14.157881,105.646397,86,1021,9789595,TRUE
