skill_id,skill_name,category,difficulty_level,popularity_score,required_frequency,certification,avg_salary_effect,created_at,updated_at
1,Spark,Programming,Easy,16,255,month Certificate,100,10/9/2024,8/23/2025
2,Kubernetes,Cloud,Hard,79,494,agree Certificate,261,5/23/2021,5/30/2025
3,Azure,Machine Learning,Medium,73,40,lawyer Certificate,428,3/15/2022,10/22/2025
4,PowerBI,Cloud,Hard,77,479,outside Certificate,306,7/8/2024,8/28/2025
5,PowerBI,Programming,Medium,73,313,always Certificate,319,3/23/2022,10/24/2025
6,Data Modeling,Cloud,Medium,24,114,growth Certificate,247,9/7/2021,4/20/2025
7,Spark,Machine Learning,Medium,12,13,action Certificate,99,1/18/2023,6/11/2025
8,Hadoop,Programming,Medium,91,177,program Certificate,112,1/23/2023,11/8/2025
9,Spark,Statistics,Medium,83,117,responsibility Certificate,37,6/16/2024,12/6/2025
10,Python,Data Engineering,Easy,34,95,popular Certificate,430,7/8/2023,11/28/2025
11,Azure,Programming,Easy,82,71,indeed Certificate,458,10/7/2021,2/11/2025
12,PowerBI,Machine Learning,Hard,95,70,project Certificate,81,3/7/2022,3/25/2025
13,Azure,Programming,Hard,20,78,scientist Certificate,211,10/16/2022,3/8/2025
14,Machine Learning,Data Engineering,Hard,55,373,himself Certificate,473,8/28/2021,7/13/2025
15,Deep Learning,Statistics,Easy,46,138,concern Certificate,80,1/7/2022,5/12/2025
16,SQL,Cloud,Medium,68,349,when Certificate,483,9/1/2024,5/30/2025
17,Python,Programming,Hard,56,78,prepare Certificate,232,3/24/2023,12/11/2024
18,Machine Learning,Statistics,Medium,6,44,international Certificate,285,2/5/2022,5/1/2025
19,Kubernetes,Machine Learning,Hard,4,420,bad Certificate,275,3/17/2024,4/23/2025
20,Tableau,Programming,Medium,49,204,gas Certificate,377,4/21/2021,7/17/2025
21,Docker,Visualization,Hard,47,185,drive Certificate,224,6/29/2021,7/22/2025
22,Azure,Cloud,Easy,74,331,series Certificate,427,3/16/2021,1/27/2025
23,Machine Learning,Cloud,Hard,42,487,population Certificate,194,12/6/2023,9/14/2025
24,Deep Learning,Statistics,Medium,37,95,difficult Certificate,371,6/4/2023,6/9/2025
25,SQL,Visualization,Easy,74,34,science Certificate,391,2/14/2023,6/5/2025
26,NLP,Statistics,Hard,78,235,seat Certificate,68,11/23/2023,8/8/2025
27,PowerBI,Programming,Medium,29,44,I Certificate,32,11/23/2023,1/27/2025
28,NLP,Statistics,Medium,31,16,address Certificate,203,3/26/2024,3/4/2025
29,Azure,Statistics,Easy,95,134,region Certificate,280,10/9/2023,4/28/2025
30,Deep Learning,Cloud,Medium,27,219,crime Certificate,494,6/2/2021,4/2/2025
31,Azure,Data Engineering,Medium,78,468,happen Certificate,251,1/26/2023,10/27/2025
32,Kubernetes,Machine Learning,Easy,39,319,pretty Certificate,426,7/30/2024,11/17/2025
33,AWS,Cloud,Medium,49,336,movement Certificate,385,6/29/2024,9/17/2025
34,Data Modeling,Statistics,Easy,55,382,take Certificate,47,11/28/2023,12/10/2024
35,SQL,Statistics,Medium,25,158,risk Certificate,385,4/21/2021,7/8/2025
36,SQL,Cloud,Medium,67,105,life Certificate,235,8/30/2022,3/16/2025
37,Kubernetes,Machine Learning,Easy,5,367,sell Certificate,227,9/17/2021,10/11/2025
38,Machine Learning,Programming,Easy,7,412,administration Certificate,319,3/16/2022,12/13/2024
39,Kubernetes,Statistics,Easy,70,465,suggest Certificate,254,9/28/2021,8/2/2025
40,Docker,Machine Learning,Hard,86,186,respond Certificate,265,11/16/2022,10/15/2025
41,AWS,Machine Learning,Easy,54,388,may Certificate,7,4/22/2023,1/10/2025
42,Data Modeling,Statistics,Hard,98,232,can Certificate,128,3/11/2024,11/29/2025
43,SQL,Statistics,Easy,96,159,movement Certificate,183,1/3/2022,5/27/2025
44,AWS,Machine Learning,Medium,76,392,election Certificate,21,8/27/2023,6/26/2025
45,Kubernetes,Data Engineering,Medium,80,260,yard Certificate,151,7/4/2024,9/26/2025
46,PowerBI,Machine Learning,Hard,68,198,check Certificate,285,5/9/2021,1/20/2025
47,Azure,Machine Learning,Easy,84,482,above Certificate,324,5/26/2024,11/12/2025
48,NLP,Programming,Hard,69,495,central Certificate,463,4/16/2023,11/20/2025
49,NLP,Cloud,Medium,16,337,my Certificate,71,1/17/2023,8/26/2025
50,Data Modeling,Programming,Hard,60,94,produce Certificate,20,2/15/2022,1/21/2025
51,Hadoop,Statistics,Easy,88,364,allow Certificate,228,12/22/2020,6/8/2025
52,Data Modeling,Machine Learning,Hard,59,275,technology Certificate,45,11/15/2024,11/19/2025
53,Data Modeling,Statistics,Easy,31,343,guy Certificate,267,6/22/2024,6/4/2025
54,Python,Data Engineering,Easy,71,31,force Certificate,311,10/22/2023,1/30/2025
55,Hadoop,Data Engineering,Easy,35,209,late Certificate,474,3/12/2022,3/3/2025
56,GCP,Cloud,Hard,87,234,eight Certificate,401,11/13/2024,8/19/2025
57,Azure,Machine Learning,Medium,92,235,federal Certificate,211,1/5/2023,1/2/2025
58,Kubernetes,Visualization,Easy,65,152,town Certificate,97,5/7/2023,2/19/2025
59,GCP,Data Engineering,Medium,32,454,his Certificate,401,4/27/2024,7/9/2025
60,GCP,Data Engineering,Medium,54,279,employee Certificate,133,8/26/2021,9/4/2025
61,Python,Data Engineering,Hard,75,206,all Certificate,25,5/2/2023,6/20/2025
62,Tableau,Visualization,Easy,91,322,table Certificate,103,12/18/2022,5/28/2025
63,Docker,Statistics,Medium,41,32,tonight Certificate,465,1/9/2021,6/19/2025
64,Deep Learning,Statistics,Medium,11,82,still Certificate,492,5/9/2023,9/30/2025
65,GCP,Programming,Medium,70,43,sell Certificate,425,3/27/2021,9/7/2025
66,Machine Learning,Visualization,Medium,18,454,floor Certificate,160,3/22/2023,2/5/2025
67,SQL,Data Engineering,Easy,20,252,fact Certificate,399,12/8/2023,1/12/2025
68,Spark,Data Engineering,Hard,76,108,certain Certificate,107,11/11/2021,4/18/2025
69,Azure,Visualization,Hard,20,40,view Certificate,158,12/15/2020,10/21/2025
70,Spark,Visualization,Medium,32,479,feel Certificate,203,10/14/2023,7/9/2025
71,AWS,Cloud,Hard,33,125,region Certificate,136,4/11/2022,1/6/2025
72,SQL,Statistics,Medium,38,364,probably Certificate,314,9/15/2023,7/25/2025
73,Data Modeling,Cloud,Hard,28,410,law Certificate,141,8/10/2023,2/23/2025
74,PowerBI,Machine Learning,Easy,51,457,foreign Certificate,243,3/23/2022,5/28/2025
75,Tableau,Programming,Hard,21,127,cold Certificate,359,3/23/2024,7/9/2025
76,Python,Data Engineering,Medium,7,163,drive Certificate,283,3/5/2022,9/10/2025
77,GCP,Data Engineering,Medium,48,269,fast Certificate,136,7/6/2021,8/30/2025
